Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Mexico,CCC Centro,Natural gas,,"Huexca, Morelos",under construction,620,,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,En pruebas.,,18.8009404,-98.8848,620.0,Gas
Mexico,CCC Tierra Mojada,Natural gas,,"Zapotlanejo, Jalisco",under construction,874.5,,Fisterra Energy,private,CDMX,,,https://www.fisterraenergy.com/under-construction/,20.553345,-103.07581,874.5,Gas
Mexico,CCC Tajín Energía I,Natural gas,vapour,"Tuxpan, Veracruz",under construction,1100,,Tajín Energía,private,CDMX,,,,21.0159696,-97.389167,1100.0,Gas
Mexico,CCC El Potosino,Natural gas,vapour,"San Luis Potosí, San Luis Potosí",under construction,300,,DeAcero/Fisterra,private,CDMX,,,,21.2089093,-100.6153,300.0,Gas
Mexico,CCC La Charrería,Natural gas,,"Juanacatlán, Jalisco",under construction,1000,,"La Charrería, S. de R.L. de C.V.",private,,,,,20.4752707,-103.19661,1000.0,Gas
Mexico,CT Energía del Valle de Mexico I,Natural gas,,"Axapusco, Mexico",active,94,2019,EVM Energía del Valle de Mexico,private,"Axapusco, Mexico",,,https://www.evmenergia.com/,19.747524,-98.66725,94.0,Gas
Mexico,CCC Energía del Valle de Mexico II,Natural gas,,"Axapusco, Mexico",under construction,850,,EVM Energía del Valle de Mexico,private,"Axapusco, Mexico",,,,19.7458958,-98.676429,850.0,Gas
Mexico,CCC Pesquería,Natural gas,,"Pesquería, Nuevo León",active,900,2016,Techint,private,"Pesquería, Nuevo León",,,http://www.techgen.com.mx,25.7258627,-99.987829,900.0,Gas
Mexico,CCC Jorge Luque,Natural gas,,"Cuautitlán, Mexico",under construction,100,,Generadora Fénix/Sindicato Mexicano de Electricistas,private,CDMX,,,http://www.sme.org.mx/actividades/2017/2017-11-22PrimeraPiedraJLuque/reporte.html,19.633751,-99.186764,100.0,Gas
Mexico,CCC Benito Juárez,Natural gas,,"Ciudad Juárez, Chihuahua",active,522,1998,"GE, SFG XX Inc. & Sam II Generating Company",private,CDMX,,,,31.3290792,-106.48687,522.0,Gas
Mexico,CCC Chihuahua II,Natural gas,,"Chihuahua, Chihuahua",active,250,2014,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,28.4437181,-105.92,250.0,Gas
Mexico,CCC Tuxpan V,Natural gas,vapour,"Tuxpan, Veracruz",active,495,2006,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,20.8450459,-97.244475,495.0,Gas
Mexico,CCC Valle de Mexico,Natural gas,,"Acolman, Mexico",active,552,2004,Comisión Federal de Electricidad (CFE),state-owned,,,,,19.6179509,-98.979993,552.0,Gas
Mexico,CCC Norte II,Natural gas,,"Chihuahua, Chihuahua",active,433,2014,KST Electric Power Company,private,CDMX,"Techint, Kepco & Samsung C&T Corporation",,http://www.techint-ingenieria.com/es/news/inician-las-operaciones-de-norte-ii-en-mexico,28.4407704,-105.92146,433.0,Gas
Mexico,CT Tamuín,petcoke,,"Tamuin, San Luis Potosí",active,560,2007,AES,private,CDMX,,,http://www.aesmex.com/inicio/quienes-somos/nuestro-negocio/aes-tamuin/,22.0695,-98.847,560.0,other
Nicaragua,Planta MAN,Diesel,,"Mateare, Managua",active,74,2014,"Alba Generación, S.A.",private,Managua,,"Las cifras de capacidad instalada varían levemente por pocos megavatios en dos organismos oficiales, pero en el caso de esta planta, la variación es del doble. Hay reportes periodísticos que señalan que el gobierno miente sobre la capacidad real","https://www.ine.gob.ni/DGE/estadisticas/2018/Capacidad_Instalada_2018_actMar19.pdf , http://www.mem.gob.ni/wp-content/uploads/2017/05/Agentes-Generadores.pdf, https://confidencial.com.ni/alba-generacion-el-negocio-voraz-de-daniel-ortega/",12.1860422,-86.371957,74.0,Diesel
Nicaragua,Las Brisas,Diesel,,"Managua, Managua",active,65,2000,"Generadora Eléctrica Central, S.A. (Gecsa)",private,Managua,,,,,,65.0,Diesel
Nicaragua,Hugo Chávez Frías,Diesel,,"Managua, Managua",active,60,2008,"Alba de Nicaragua, S.A. (Albanisa)",private,Managua,"49% oils de Nicaragua (PETRONIC), 51% PDVSA",,,12.1656824,-86.34529,60.0,Diesel
Nicaragua,Planta Managua,Fuel oil,,"Managua, Managua",active,57,2000,"Generadora Eléctrica Central, S.A. (Gecsa)",private,Managua,,,,12.1542,-86.2577,57.0,Fuel oil
Nicaragua,Empresa Energética Corinto,Fuel oil,,"Puerto Corinto, Chinandega",active,71,1999,Empresa Energética Corinto Ltd. (EEC)/Grupo Centrans/IC Power,private,Managua,,,http://centransgroup.com.gt/ces/empresa-energetica-corinto-limited-eec/,12.4883,-87.16735,71.0,Fuel oil
Nicaragua,Tipitapa Power Company,Fuel oil,,"Tipitapa, Managua",active,51,1999,Tipitapa Power Company Ltd/Grupo Cetrans/IC Power,private,Managua,,,http://centransgroup.com.gt/ces/tipitapa-power-company-tpc/,12.1698,-86.1052,51.0,Fuel oil
Nicaragua,CENSA,Fuel oil,,"Puerto Sandino, Nagarote, León",active,65,1997,Corporación Eléctrica Nicaragüense (Censa),private,León,,,http://www.censa.com.ni/,12.1857,-86.7473,65.0,Fuel oil
Nicaragua,Planta Nicaragua,Fuel oil,,"Puerto Sandino, Nagarote, León",active,106,2000,"Generadora Eléctrica Occidental, S.A. (Geosa)",private,Managua,,,,12.1784825,-86.769741,106.0,Fuel oil
Nicaragua,"Che Guevara VII, IX, VI",Fuel oil,,"Nagarote, León",active,102,2008-2011,"Alba de Nicaragua, S.A. (Albanisa)",private,Managua,"49% oils de Nicaragua (PETRONIC), 51% PDVSA",,,12.2803,-86.5768,102.0,Fuel oil
Nicaragua,"Che Guevara II, IV, V",Fuel oil,,"Masaya, Masaya",active,61,2008-2011,"Alba de Nicaragua, S.A. (Albanisa)",private,Managua,"49% oils de Nicaragua (PETRONIC), 51% PDVSA",,,12.0144,-86.086,61.0,Fuel oil
Panama,Celsia Bahía Las Minas,coal,Diesel,"Bahía de las Minas, Colón",active,273,2014,"Celsia, parte del Grupo Argos de Colombia",private,,,"En 2014, la planta fue adquirida por Celsia, pero operaba desde 1969 con menor capacidad instalada",https://www.celsia.com/es/centrales-termoelectricas,9.3767275,-79.8253,273.0,coal
Panama,Pedregal Power/Pacora,coal,Fuel oil & Diesel,"Panama, Panama",active,55,2003,Pedregal Power Company,private,Panama,Inkia Energy,,,9.1043865,-79.274663,55.0,coal
Panama,Gena/Termocolon,Diesel,,"Cativa, Colón",active,150,2009,"Generadora del Atlántico, S.A. (GENA)",private,Panama,,,"https://www.gepsa.com.pa/quienes-somos , https://www.gena.com.pa/termocolon-1",9.374142,-79.825783,150.0,Diesel
Panama,Jinro Power,Diesel,Fuel oil,"Sabanitas, Colon",active,58,2016,Jinro Corp/Grupo Terra,private,Panama,,,https://corporaciongrupoterra.com/es/terra-energia/,9.326253,-79.864947,58.0,Diesel
Panama,Kanan,Diesel,,"Arraijan, Panama",active,132,2018,Kanan Overseas Inc/Inkia Energy,private,Panama,,"Location was: Cativa, Colón",https://inkiaenergy.com/negocios/nuestro-portafolio/,,,132.0,Diesel
Panama,Planta Termoeléctrica Miraflores,Fuel oil,Diesel,"Canal de Panama, Balboa",active,152,1963,ACP Miraflores IC Power/Autoridad del Canal de Panama,state-owned,Balboa,,,https://www.micanaldepanama.com/canal-de-panama-fortalece-capacidad-de-generacion-electrica/,9.0003466,-79.592864,152.0,Fuel oil
Panama,AES Panama Estrella de Mar,Fuel oil,,"Bahía de las Minas, Colón",active,72,2015,"AES Panama, S.R.L.",private,Panama,,,http://aesenpanama.com/estrella-del-mar-i/,,,72.0,Fuel oil
Panama,Pan-am Generating,Fuel oil,Diesel,"La Chorrera, Panama Oeste",active,144,1999,Pan-am Generating Ltd.,private,Panama,,,http://panam.com.pa/,8.9085978,"-79.7831762,",144.0,Fuel oil
Panama,Celsia Altenergy Cativa,Fuel oil,coal,"Cativa, Colón",active,87,,"Celsia, parte del Grupo Argos de Colombia",private,,,,https://www.celsia.com/es/centrales-termoelectricas,,,87.0,Fuel oil
Panama,AES Natural gas Atlántico,Natural gas,,"Colón, Panama",active,381,2018,Natural gas del Atlántico S. de R.L./AES Panama,private,Panama,Inversiones Bahía,,http://aesenpanama.com/colon/,9.3427327,-79.907245,381.0,Gas
